Id,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,BedroomAbvGr,TotRmsAbvGrd,SalePrice
656,21,1680,6,5,1971,3,6,88000
657,72,10007,5,7,1959,3,5,145500
658,60,7200,7,6,1931,3,6,149000
659,78,17503,6,5,1948,3,6,97500
660,75,9937,5,7,1964,3,7,167000
661,NA,12384,7,7,1976,3,7,197900
662,52,46589,8,7,1994,4,8,402000
663,120,13560,6,3,1968,2,5,110000
664,90,10012,4,5,1972,3,6,137500
665,49,20896,8,5,2005,1,8,423000
666,106,11194,8,5,2000,3,7,230500
667,NA,18450,6,5,1965,3,7,129000
668,65,8125,6,5,1994,3,7,193500
669,NA,14175,5,6,1956,3,6,168000
670,80,11600,4,5,1922,2,5,137500
671,64,8633,6,5,2005,3,7,173500
672,54,6629,6,6,1925,3,6,103600
673,NA,11250,6,6,1977,3,6,165000
674,110,14442,6,7,1957,3,7,257500
675,80,9200,6,6,1965,3,5,140000
676,24,2289,6,6,1978,3,7,148500
677,60,9600,4,2,1900,4,8,87000
678,52,9022,5,8,1924,2,5,109500
679,80,11844,8,5,2008,3,7,372500
680,NA,9945,5,5,1961,3,5,128500
681,50,8012,6,5,1980,2,5,143000
682,55,4500,5,5,1932,3,6,159434
683,NA,2887,6,5,1996,2,6,173000
684,90,11248,9,5,2002,3,7,285000
685,58,16770,7,5,1998,4,7,221000
686,NA,5062,7,5,1984,3,6,207500
687,84,10207,7,6,2007,3,7,227875
688,NA,5105,7,5,2004,2,4,148800
689,60,8089,8,6,2007,2,7,392000
690,61,7577,6,5,2005,2,6,194700
691,NA,4426,6,5,2004,1,3,141000
692,104,21535,10,6,1994,4,10,755000
693,42,26178,7,5,1989,4,9,335000
694,60,5400,5,6,1921,2,4,108480
695,51,6120,5,6,1936,3,5,141500
696,54,13811,6,6,1987,2,5,176000
697,50,6000,5,7,1921,2,4,89000
698,57,6420,5,7,1952,2,6,123500
699,65,8450,5,8,1965,3,5,138500
700,59,4282,7,5,2004,2,5,196000
701,85,14331,8,5,2002,3,7,312500
702,80,9600,7,5,1969,3,6,140000
703,82,12438,8,5,2006,4,10,361919
704,76,7630,5,9,1900,4,8,140000
705,70,8400,7,5,2004,3,7,213000
706,70,5600,4,5,1930,3,7,55000
707,NA,115149,7,5,1971,2,5,302000
708,48,6240,8,5,2006,2,6,254000
709,65,9018,7,5,2007,3,8,179540
710,NA,7162,5,7,1966,3,6,109900
711,56,4130,3,6,1935,2,5,52000
712,66,8712,4,7,1900,2,7,102776
713,40,4671,8,5,1988,2,5,189000
714,60,9873,4,5,1970,3,6,129000
715,NA,13517,6,8,1976,3,6,130500
716,78,10140,6,5,1974,3,7,165000
717,60,10800,7,8,1890,3,8,159500
718,80,10000,5,6,1973,3,5,157000
719,96,10542,7,5,1993,3,9,341000
720,69,9920,5,6,1969,3,5,128500
721,NA,6563,8,5,1985,2,5,275000
722,NA,4426,6,5,2004,1,3,143000
723,70,8120,4,7,1970,3,5,124500
724,60,8172,4,6,1954,4,7,135000
725,86,13286,9,5,2007,3,8,320000
726,60,6960,4,6,1970,3,5,120500
727,NA,21695,6,9,1988,3,5,222000
728,64,7314,7,5,2007,2,6,194500
729,85,11475,5,5,1958,4,9,110000
730,52,6240,4,5,1925,2,5,103000
731,39,5389,8,5,1995,2,5,236500
732,73,9590,7,5,2003,3,6,187500
733,75,11404,7,5,1998,3,8,222500
734,80,10000,5,6,1961,3,6,131400
735,NA,8978,5,5,1968,3,6,108000
736,60,10800,7,7,1914,2,6,163000
737,60,8544,3,4,1950,2,6,93500
738,72,10463,8,5,2005,3,8,239900
739,60,10800,5,5,1987,3,5,179000
740,65,9313,7,5,2004,3,7,190000
741,60,9600,5,7,1910,2,7,132000
742,65,6768,6,8,1961,3,5,142000
743,65,8450,7,5,2000,3,6,179000
744,70,12886,5,6,1963,3,6,175000
745,41,5395,8,5,1993,2,5,180000
746,NA,8963,8,9,1976,4,11,299800
747,NA,8795,7,5,2000,4,8,236000
748,65,11700,7,7,1880,4,8,265979
749,59,10593,7,5,1996,3,7,260400
750,50,8405,4,3,1945,4,9,98000
751,55,8800,4,7,1910,3,7,96500
752,NA,7750,7,5,2003,3,6,162000
753,79,9236,6,5,1997,3,6,217000
754,80,10240,8,5,2005,3,8,275500
755,61,7930,6,8,1969,3,5,156000
756,34,3230,6,5,1999,3,6,172500
757,68,10769,8,5,2007,3,7,212000
758,NA,11616,6,5,1978,3,6,158900
759,24,2280,7,5,1999,3,6,179400
760,65,12257,8,5,1995,4,9,290000
761,70,9100,6,6,1959,2,5,127500
762,60,6911,5,5,1924,2,5,100000
763,72,8640,7,5,2009,3,7,215200
764,82,9430,8,5,1999,3,8,337000
765,30,9549,8,5,1995,2,6,270000
766,75,14587,9,5,2008,2,6,264132
767,80,10421,7,5,1988,3,7,196500
768,75,12508,6,7,1940,4,7,160000
769,70,9100,7,5,2004,3,8,216837
770,47,53504,8,5,2003,4,12,538000
771,NA,7252,5,5,1982,2,5,134900
772,67,8877,4,5,1951,2,6,102000
773,94,7819,6,5,1976,3,6,107000
774,70,10150,5,5,1958,2,5,114500
775,110,14226,8,5,2006,3,9,395000
776,32,4500,6,5,1998,2,5,162000
777,86,11210,7,5,2005,3,7,221500
778,100,13350,5,5,1974,3,5,142500
779,60,8400,5,5,1977,4,10,144000
780,78,10530,6,5,1977,2,4,135000
781,63,7875,7,5,1995,3,6,176000
782,65,7153,6,5,1992,3,7,175900
783,67,16285,7,5,2001,3,6,187100
784,NA,9101,5,6,1978,1,4,165500
785,35,6300,6,6,1914,3,9,128000
786,NA,9790,6,5,1967,3,7,161500
787,60,10800,5,6,1915,4,7,139000
788,76,10142,7,5,2004,4,8,233000
789,50,6000,4,7,1954,2,4,107900
790,NA,12205,6,8,1966,5,9,187500
791,43,3182,7,5,2005,2,5,160200
792,NA,11333,6,5,1976,3,5,146800
793,92,9920,7,5,1996,3,8,269790
794,76,9158,8,5,2007,3,7,225000
795,NA,10832,7,5,1994,3,7,194500
796,70,8400,6,6,1980,3,7,171000
797,71,8197,6,5,1977,3,7,143500
798,57,7677,5,5,1953,2,4,110000
799,104,13518,9,5,2008,4,11,485000
800,60,7200,5,7,1937,3,7,175000
801,79,12798,6,5,1997,4,8,200000
802,40,4800,4,7,1916,2,5,109900
803,63,8199,7,5,2005,3,7,189000
804,107,13891,9,5,2008,4,12,582933
805,75,9000,5,5,1954,2,5,118000
806,91,12274,7,5,2008,3,6,227680
807,75,9750,5,5,1967,3,6,135500
808,144,21384,5,6,1923,3,6,223500
809,85,13400,5,5,1966,3,6,159950
810,90,8100,5,5,1898,2,11,106000
811,78,10140,6,6,1974,3,5,181000
812,NA,4438,6,5,2004,1,4,144500
813,66,8712,5,5,1952,2,4,55993
814,75,9750,6,6,1958,4,7,157900
815,45,8248,5,7,1918,3,7,116000
816,48,12137,7,5,1998,3,6,224900
817,NA,11425,5,6,1954,2,4,137000
818,NA,13265,8,5,2002,3,7,271000
819,80,8816,6,7,1971,3,6,155000
820,44,6371,7,5,2009,2,6,224000
821,72,7226,7,5,2003,3,6,183000
822,60,6000,4,4,1953,2,4,93000
823,NA,12394,7,5,2003,3,7,225000
824,60,9900,6,7,1940,3,7,139500
825,81,11216,8,5,2006,3,7,232600
826,114,14803,10,5,2007,2,7,385000
827,50,6130,5,6,1924,2,5,109500
828,65,8529,7,5,2001,3,6,189000
829,NA,28698,5,5,1967,3,7,185000
830,24,2544,7,5,2005,2,4,147400
831,80,11900,6,5,1957,3,6,166000
832,30,3180,7,5,2005,2,4,151000
833,44,9548,7,6,2003,3,7,237000
834,100,10004,6,6,1964,3,6,167000
835,75,7875,5,6,1961,3,6,139950
836,60,9600,4,7,1950,2,4,128000
837,90,8100,5,6,1948,2,5,153500
838,21,1680,6,5,1973,2,5,100000
839,75,9525,5,6,1995,3,6,144000
840,70,11767,5,6,1946,3,6,130500
841,NA,12155,6,8,1925,4,7,140000
842,60,10440,5,8,1904,3,8,157500
843,82,9020,6,7,1966,3,6,174900
844,80,8000,5,4,1961,6,10,141000
845,100,12665,5,8,1915,4,7,153900
846,NA,16647,5,5,1975,3,6,171000
847,75,9317,7,5,1993,3,7,213000
848,36,15523,5,6,1972,3,5,133500
849,75,45600,6,8,1908,5,10,240000
850,80,9600,6,7,1976,3,7,187000
851,36,4435,6,5,2003,1,3,131500
852,NA,3196,8,5,2003,2,7,215000
853,53,7128,7,5,1941,4,7,164000
854,NA,12095,6,6,1964,3,7,158000
855,102,17920,5,4,1955,3,6,170000
856,NA,6897,5,8,1962,3,6,127000
857,NA,10970,6,6,1978,3,5,147000
858,65,8125,6,5,1994,3,6,174000
859,80,10400,7,5,1976,3,6,152000
860,NA,11029,6,7,1968,4,9,250000
861,55,7642,7,8,1918,3,7,189950
862,75,11625,5,4,1965,3,6,131500
863,81,9672,6,5,1984,3,6,152000
864,70,7931,5,5,1959,3,6,132500
865,72,8640,7,5,2007,3,6,250580
866,NA,8750,5,6,1970,3,5,148500
867,67,10656,8,5,2006,3,6,248900
868,85,6970,4,5,1961,3,5,129000
869,NA,14762,5,6,1948,2,7,169000
870,80,9938,7,5,1993,3,8,236000
871,60,6600,5,5,1962,2,5,109500
872,70,8750,6,5,1998,3,7,200500
873,74,8892,5,7,1953,3,5,116000
874,60,12144,5,7,1949,3,6,133000
875,52,5720,5,6,1941,3,5,66500
876,75,9000,8,5,2007,4,11,303477
877,94,25286,4,5,1963,3,5,132250
878,74,8834,9,5,2004,4,10,350000
879,88,11782,5,7,1961,3,6,148000
880,NA,7000,5,8,1978,3,6,136500
881,60,7024,5,5,2005,2,5,157000
882,44,13758,7,5,1990,3,7,187500
883,NA,9636,6,5,1992,3,7,178000
884,60,6204,4,5,1912,5,10,118500
885,65,7150,5,5,1967,3,5,100000
886,50,5119,9,5,1999,2,5,328900
887,70,8393,5,5,1959,4,8,145000
888,59,16466,5,7,1955,3,8,135500
889,95,15865,8,6,1970,4,8,268000
890,128,12160,6,4,1953,2,6,149500
891,60,8064,5,7,1949,3,6,122900
892,70,11184,6,5,1978,3,7,172500
893,70,8414,6,8,1963,3,6,154500
894,NA,13284,5,5,1954,3,6,165000
895,64,7018,5,5,1979,4,8,118858
896,71,7056,6,5,1963,4,8,140000
897,50,8765,4,6,1936,2,6,106500
898,64,7018,5,5,1979,6,12,142953
899,100,12919,9,5,2009,2,11,611657
900,65,6993,5,7,1961,3,6,135000
901,NA,7340,4,6,1971,2,4,110000
902,64,8712,5,7,1957,2,5,153000
903,63,7875,7,5,2003,3,8,180000
904,50,14859,7,5,2006,3,7,240000
905,NA,6173,5,6,1967,3,6,125500
906,80,9920,5,5,1954,3,6,128000
907,116,13501,8,5,2006,3,8,255000
908,86,11500,7,7,1936,3,6,250000
909,NA,8885,5,5,1983,2,5,131000
910,149,12589,6,5,2005,3,8,174000
911,80,11600,5,5,1960,5,12,154300
912,NA,9286,5,7,1977,3,5,143500
913,51,6120,5,7,1925,3,6,88000
914,82,6270,5,6,1949,4,8,145000
915,30,3000,6,5,2009,2,4,173733
916,21,2001,4,5,1970,3,6,75000
917,50,9000,2,3,1949,1,4,35311
918,NA,17140,4,6,1956,3,6,135000
919,103,13125,7,5,1991,4,8,238000
920,87,11029,6,8,1958,3,6,176500
921,70,8462,6,5,1994,3,7,201000
922,67,8777,5,7,1900,4,9,145900
923,65,10237,6,5,2005,3,6,169990
924,50,8012,6,5,1993,2,5,193000
925,79,10240,6,6,1980,3,7,207500
926,NA,15611,5,6,1977,3,6,175000
927,93,11999,8,5,2003,4,10,285000
928,NA,9900,7,5,1968,4,9,176000
929,NA,11838,8,5,2001,3,7,236500
930,NA,13006,7,5,1997,4,8,222000
931,73,8925,8,5,2007,3,7,201000
932,70,9100,5,6,1965,2,5,117500
933,84,11670,9,5,2006,3,8,320000
934,63,8487,7,5,2004,3,6,190000
935,313,27650,7,7,1960,4,9,242000
936,52,5825,4,5,1926,1,5,79900
937,67,10083,7,5,2003,2,5,184900
938,75,9675,7,5,2005,3,8,253000
939,73,8760,7,5,2006,3,7,239799
940,NA,24090,7,7,1940,4,10,244400
941,55,12640,6,5,1976,4,8,150900
942,NA,8755,7,5,1999,3,8,214000
943,42,7711,4,3,1977,4,8,150000
944,100,25000,5,4,1967,4,8,143000
945,NA,14375,6,6,1958,3,7,137500
946,98,8820,5,6,1890,2,7,124900
947,70,8163,5,6,1959,3,6,143000
948,85,14536,8,5,2002,3,9,270000
949,65,14006,7,5,2002,3,7,192500
950,78,9360,6,7,1972,3,5,197500
951,60,7200,5,8,1950,3,5,129000
952,60,7800,5,5,1965,3,6,119900
953,60,7200,5,8,1972,2,5,133900
954,NA,11075,5,4,1969,4,7,172000
955,35,9400,6,5,1975,4,4,127500
956,82,7136,6,6,1946,4,8,145000
957,24,1300,6,6,1980,2,5,124000
958,70,7420,5,5,1962,3,6,132000
959,65,8450,7,5,2003,3,6,185000
960,24,2572,7,5,1999,3,6,155000
961,50,7207,5,7,1958,2,4,116500
962,NA,12227,6,7,1977,4,11,272000
963,24,2308,6,6,1976,3,7,155000
964,122,11923,9,5,2007,2,7,239000
965,80,11316,7,5,2002,4,8,214900
966,65,10237,6,5,2005,3,8,178900
967,130,9600,5,7,1940,2,7,160000
968,NA,7390,5,7,1955,3,6,135000
969,50,5925,3,6,1910,2,6,37900
970,75,10382,6,5,1958,2,6,140000
971,60,10800,4,4,1949,4,6,135000
972,36,2268,7,5,2003,2,6,173000
973,55,7892,6,5,1979,2,5,99500
974,95,11639,7,5,2007,3,6,182000
975,60,11414,7,8,1910,3,8,167500
976,NA,2651,7,5,2000,3,6,165000
977,51,5900,4,7,1923,2,4,85500
978,35,4274,7,5,2006,1,4,199900
979,68,9450,4,5,1954,3,5,110000
980,80,8816,5,6,1963,3,5,139000
981,NA,12122,7,9,1961,3,6,178400
982,98,12203,8,5,1998,4,8,336000
983,43,3182,7,5,2007,2,6,159895
984,NA,11250,8,5,2002,4,9,255900
985,75,10125,5,5,1977,4,8,126000
986,68,10880,5,5,1950,3,5,125000
987,59,5310,6,8,1910,2,5,117000
988,83,10159,9,5,2009,3,8,395192
989,NA,12046,6,6,1976,4,8,195000
990,65,8125,7,5,2006,3,6,197000
991,82,9452,8,5,1997,3,7,348000
992,121,17671,8,9,1882,4,8,168000
993,80,9760,6,8,1964,3,7,187000
994,68,8846,6,5,2005,3,6,173900
995,96,12456,10,5,2006,3,7,337500
996,51,4712,4,7,1946,3,5,121600
997,NA,10659,5,6,1961,3,6,136500
998,NA,11717,6,6,1970,2,6,185000
999,60,9786,3,4,1922,3,6,91000
1000,64,6762,7,5,2006,2,6,206000
1001,74,10206,3,3,1952,2,4,82000
1002,60,5400,5,6,1920,2,4,86000
1003,75,11957,8,5,2006,3,7,232000
1004,NA,11500,5,6,1976,4,8,136905
1005,43,3182,7,5,2005,1,7,181000
1006,65,8385,5,8,1977,3,6,149900
1007,NA,12155,6,3,1970,3,7,163500
1008,21,2217,4,4,1970,3,6,88000
1009,43,12118,7,5,2004,3,7,240000
1010,60,6000,5,5,1926,4,7,102000
1011,115,21286,5,5,1948,4,7,135000
1012,75,9825,5,5,1965,4,8,100000
1013,55,10592,6,7,1923,3,7,165000
1014,60,7200,5,4,1910,2,4,85000
1015,60,11664,6,5,1948,2,5,119200
1016,70,8400,8,6,2001,3,6,227000
1017,73,11883,7,5,1996,3,6,203000
1018,NA,5814,8,5,1984,1,4,187500
1019,NA,10784,7,5,1991,3,7,160000
1020,43,3013,7,5,2005,2,6,213490
1021,60,7024,4,5,2005,2,5,176000
1022,64,7406,7,5,2006,2,6,194000
1023,52,9439,5,5,1930,2,6,87000
1024,43,3182,7,5,2005,2,7,191000
1025,NA,15498,8,6,1976,2,10,287000
1026,70,7700,5,5,1972,3,5,112500
1027,73,9300,5,5,1960,3,6,167500
1028,71,9520,8,5,2007,3,7,293077
1029,79,9492,5,5,1941,3,6,105000
1030,21,1680,6,7,1972,3,7,118000
1031,NA,7082,5,8,1916,5,10,160000
1032,102,15863,7,3,1920,5,12,197000
1033,NA,14541,8,7,1993,5,10,310000
1034,NA,8125,7,5,2002,3,6,230000
1035,50,6305,5,7,1938,2,5,119750
1036,NA,11500,4,3,1957,3,5,84000
1037,89,12898,9,5,2007,2,6,315500
1038,NA,9240,8,5,2001,3,7,287000
1039,21,1533,4,6,1970,3,6,97000
1040,21,1477,4,4,1970,1,3,80000
1041,88,13125,5,4,1957,3,8,155000
1042,NA,9130,6,8,1966,4,7,173000
1043,34,5381,6,5,2005,1,5,196000
1044,86,11839,7,5,1990,4,10,262280
1045,80,9600,8,5,1981,4,9,278000
1046,NA,13680,3,5,1955,4,8,139600
1047,85,16056,9,5,2005,4,11,556581
1048,57,9245,5,5,1994,3,5,145000
1049,100,21750,5,4,1960,3,9,115000
1050,60,11100,4,7,1946,2,6,84900
1051,73,8993,7,5,2007,3,6,176485
1052,103,11175,7,5,2007,3,6,200141
1053,100,9500,6,6,1964,4,9,165000
1054,68,8562,5,6,1957,4,7,144500
1055,90,11367,8,5,2002,3,7,255000
1056,104,11361,6,5,1976,3,7,180000
1057,43,7052,7,5,2005,2,6,185850
1058,NA,29959,7,6,1994,3,7,248000
1059,96,11308,9,5,2008,3,10,335000
1060,NA,11275,6,7,1932,3,7,220000
1061,41,4920,8,5,2001,2,6,213500
1062,120,18000,3,4,1935,2,6,81000
1063,85,13600,5,5,1900,5,10,90000
1064,50,6000,6,6,1925,2,5,110500
1065,NA,11000,5,6,1966,3,6,154000
1066,80,14000,7,5,1996,3,7,328000
1067,59,7837,6,7,1993,3,7,178000
1068,80,9760,6,6,1964,4,7,167900
1069,42,3964,6,4,1973,5,10,151400
1070,60,9600,5,7,1949,2,4,135000
1071,72,10152,5,5,1956,3,6,135000
1072,78,11700,6,6,1968,4,8,154000
1073,50,7585,5,3,1948,4,7,91500
1074,75,7950,6,6,1977,3,6,159500
1075,74,8556,7,5,2006,2,5,194000
1076,75,13125,7,6,1940,3,6,219500
1077,60,10800,5,8,1936,3,7,170000
1078,NA,15870,5,5,1969,3,6,138800
1079,37,4435,6,5,2004,1,3,155900
1080,65,8775,5,5,1994,3,5,126000
1081,80,11040,6,7,1971,3,5,145000
1082,75,7500,5,5,1963,3,5,133000
1083,70,8749,7,5,2002,3,6,192000
1084,80,8800,6,6,1964,3,6,160000
1085,NA,13031,6,5,1995,3,6,187500
1086,73,9069,6,6,1992,2,5,147000
1087,NA,1974,4,5,1973,3,6,83500
1088,85,10574,8,5,2005,3,9,252000
1089,24,2522,7,5,2004,3,7,137500
1090,37,3316,8,5,2005,1,4,197000
1091,60,8544,3,4,1950,2,6,92900
1092,24,2160,7,5,1999,2,4,160000
1093,60,8400,6,5,1925,4,7,136500
1094,71,9230,5,8,1965,1,6,146000
1095,74,5868,5,7,1956,2,4,129000
1096,78,9317,6,5,2006,3,6,176432
1097,60,6882,6,7,1914,3,7,127000
1098,NA,3696,8,5,1986,2,5,170000
1099,50,6000,4,6,1936,3,6,128000
1100,82,11880,7,5,1978,3,7,157000
1101,60,8400,2,5,1920,1,3,60000
1102,61,9758,5,5,1971,3,5,119500
1103,70,7000,5,7,1960,2,6,135000
1104,79,8910,6,6,1959,3,6,159500
1105,24,2016,5,5,1970,3,6,106000
1106,98,12256,8,5,1994,3,9,325000
1107,114,10357,7,5,1990,3,6,179900
1108,168,23257,7,5,2006,3,9,274725
1109,NA,8063,6,5,2000,3,7,181000
1110,107,11362,8,5,2004,3,7,280000
1111,NA,8000,6,5,1995,3,8,188000
1112,80,10480,7,6,1976,4,8,205000
1113,73,7100,5,7,1957,2,5,129900
1114,66,8923,5,7,1953,2,6,134500
1115,90,5400,5,7,1954,2,4,117000
1116,93,12085,8,5,2007,3,7,318000
1117,NA,7750,8,5,2002,3,7,184100
1118,57,9764,5,7,1967,3,5,130000
1119,85,13825,5,6,1958,3,6,140000
1120,70,7560,5,5,1959,3,6,133700
1121,59,8263,6,5,1920,2,6,118400
1122,84,10084,7,5,2005,3,7,212900
1123,NA,8926,4,3,1956,3,5,112000
1124,50,9405,5,9,1947,2,4,118000
1125,NA,9125,7,5,1992,3,7,163900
1126,60,10434,4,5,1955,2,5,115000
1127,53,3684,7,5,2007,2,7,174000
1128,182,14572,7,5,2004,3,7,259000
1129,59,11796,7,5,2004,4,8,215000
1130,60,7200,5,5,1980,2,4,140000
1131,65,7804,4,3,1928,4,7,135000
1132,63,10712,5,5,1991,3,5,93500
1133,90,9900,6,4,1880,5,8,117500
1134,80,9828,8,5,1995,3,8,239500
1135,57,8773,6,5,1997,3,7,169000
1136,60,6180,6,5,1926,2,5,102000
1137,80,9600,6,5,1950,3,6,119000
1138,54,6342,5,8,1875,2,6,94000
1139,NA,9819,6,5,1977,2,5,196000
1140,98,8731,5,5,1920,3,6,144000
1141,60,7350,5,7,1951,2,4,139000
1142,NA,10304,5,7,1976,4,9,197500
1143,77,9965,8,5,2006,4,11,424870
1144,NA,9000,5,3,1959,3,5,80000
1145,60,12180,4,4,1941,2,5,80000
1146,52,6240,5,6,1928,3,8,149000
1147,NA,11200,6,5,1985,3,5,180000
1148,75,12000,7,7,1941,3,7,174500
1149,NA,5700,7,7,1926,2,5,116900
1150,50,9000,7,9,1920,3,7,143000
1151,57,8280,6,5,1950,2,4,124000
1152,134,17755,5,4,1959,3,6,149900
1153,90,14115,6,7,1956,2,6,230000
1154,NA,5890,6,8,1930,2,5,120500
1155,NA,13700,7,6,1965,4,8,201800
1156,90,10768,5,8,1976,3,6,218000
1157,85,9350,5,8,1965,3,6,179900
1158,34,5001,7,5,2007,2,6,230000
1159,92,11932,8,5,2007,3,7,235128
1160,76,9120,6,6,1974,4,8,185000
1161,24,2280,6,5,1978,3,7,146000
1162,NA,14778,6,7,1954,3,7,224000
1163,109,8724,5,5,1968,3,5,129000
1164,60,12900,4,4,1969,0,6,108959
1165,NA,16157,5,7,1978,2,5,194000
1166,79,9541,7,5,2009,3,7,233170
1167,64,10475,8,5,2008,3,7,245350
1168,58,10852,6,5,2000,3,7,173000
1169,120,13728,6,7,1935,4,7,235000
1170,118,35760,10,5,1995,4,10,625000
1171,76,9880,6,6,1977,3,6,171000
1172,76,9120,6,6,1958,3,6,163000
1173,35,4017,7,5,2006,2,5,171900
1174,138,18030,5,6,1946,3,12,200500
1175,80,16560,6,8,1932,4,9,239000
1176,85,10678,8,5,1992,4,9,285000
1177,37,6951,5,5,1984,3,5,119500
1178,NA,3950,6,8,1926,3,5,115000
1179,54,7681,5,6,1921,3,7,154900
1180,77,8335,5,5,1954,3,5,93000
1181,NA,11170,7,5,1990,4,8,250000
1182,64,5587,8,5,2008,2,5,392500
1183,160,15623,10,5,1996,4,10,745000
1184,60,10800,5,6,1920,2,5,120000
1185,50,35133,5,4,1963,3,5,186700
1186,60,9738,5,7,1924,4,7,104900
1187,107,10615,3,5,1900,3,7,95000
1188,89,12461,8,5,1994,2,5,262000
1189,68,8935,7,5,2002,3,7,195000
1190,60,7500,7,5,1999,3,7,189000
1191,NA,32463,4,4,1961,3,7,168000
1192,24,2645,8,5,1999,2,5,174000
1193,60,9600,5,8,1925,3,6,125000
1194,NA,4500,6,5,1999,2,5,165000
1195,80,9364,6,7,1969,4,7,158000
1196,51,8029,6,5,2005,3,8,176000
1197,58,14054,7,5,2006,4,9,219210
1198,65,8850,7,6,1916,3,7,144000
1199,70,9100,7,5,2001,3,6,178000
1200,75,11235,4,5,1963,3,6,148000
1201,71,9353,4,5,1970,3,5,116050
1202,80,10400,7,5,1998,3,6,197900
1203,50,6000,5,8,1925,3,5,117000
1204,75,9750,7,5,2000,3,6,213000
1205,78,10140,5,6,1975,3,6,153500
1206,90,14684,7,7,1990,3,7,271900
1207,NA,8900,4,4,1966,2,5,107000
1208,70,9135,6,5,2003,3,7,200000
1209,70,7763,5,7,1962,3,6,140000
1210,85,10182,8,5,2006,3,8,290000
1211,70,11218,6,5,1992,3,8,189000
1212,152,12134,8,7,1988,4,8,164000
1213,50,9340,4,6,1941,2,4,113000
1214,NA,10246,4,9,1965,0,3,145000
1215,69,10205,5,5,1962,3,6,134500
1216,99,7094,5,5,1966,3,5,125000
1217,68,8930,6,5,1978,4,8,112000
1218,72,8640,8,5,2009,3,6,229456
1219,52,6240,4,5,1947,2,3,80500
1220,21,1680,6,5,1971,3,7,91500
1221,66,7800,5,5,1964,2,5,115000
1222,55,8250,5,5,1968,3,5,134000
1223,78,10496,6,6,1949,3,7,143000
1224,89,10680,5,3,1951,4,7,137900
1225,60,15384,7,5,2004,3,8,184000
1226,65,10482,6,8,1958,3,6,145000
1227,86,14598,6,5,2007,4,9,214000
1228,72,8872,5,8,1965,2,5,147000
1229,65,8769,9,5,2008,1,7,367294
1230,70,7910,5,5,1960,4,7,127000
1231,NA,18890,5,5,1977,4,12,190000
1232,70,7728,5,6,1962,3,6,132500
1233,70,9842,4,5,1962,2,6,101800
1234,NA,12160,5,5,1959,3,6,142000
1235,55,8525,5,6,1911,4,7,130000
1236,96,13132,5,5,1914,4,9,138887
1237,36,2628,7,5,2003,2,6,175500
1238,41,12393,7,5,2004,4,8,195000
1239,63,13072,6,5,2005,3,6,142500
1240,64,9037,8,5,2006,2,6,265900
1241,65,8158,7,5,2003,3,8,224900
1242,83,9849,7,6,2007,3,7,248328
1243,85,10625,7,6,1974,3,6,170000
1244,107,13891,10,5,2006,2,7,465000
1245,NA,11435,8,7,1929,3,7,230000
1246,78,12090,6,7,1984,3,7,178000
1247,65,8125,7,5,2005,3,6,186500
1248,NA,12328,6,5,1976,3,6,169900
1249,60,9600,6,5,1917,3,8,129500
1250,60,7200,5,7,1950,3,6,119000
1251,93,11160,7,5,1968,3,8,244000
1252,NA,3136,7,5,2003,2,6,171750
1253,62,9858,5,6,1968,3,5,130000
1254,NA,17542,7,7,1974,3,9,294000
1255,60,6931,7,5,2003,3,7,165400
1256,52,6240,6,6,1931,3,6,127500
1257,91,14303,8,5,1994,2,7,301500
1258,56,4060,5,8,1922,2,4,99900
1259,59,9587,7,5,2005,2,5,190000
1260,65,9750,6,8,1969,3,6,151000
1261,NA,24682,6,5,1999,3,7,181000
1262,80,9600,5,6,1956,2,5,128900
1263,NA,11250,4,5,1957,5,8,161500
1264,60,13515,6,6,1919,3,8,180500
1265,34,4060,6,5,1998,2,5,181000
1266,35,3735,7,5,1999,3,6,183900
1267,60,10120,7,4,1910,4,9,122000
1268,89,13214,9,5,2008,3,10,378500
1269,NA,14100,8,9,1935,4,11,381000
1270,78,11344,5,5,1958,3,7,144000
1271,NA,23595,7,6,1979,0,4,260000
1272,NA,9156,6,7,1968,3,7,185750
1273,NA,13526,5,6,1965,3,5,137000
1274,124,11512,6,7,1959,2,5,177000
1275,53,5362,5,6,1910,3,8,139000
1276,95,11345,5,5,1948,4,10,137000
1277,NA,12936,6,6,1972,3,6,162000
1278,NA,17871,6,5,1967,3,7,197900
1279,75,9473,8,5,2002,3,7,237000
1280,60,7500,4,4,1920,2,6,68400
1281,67,9808,7,5,2002,3,6,227000
1282,50,8049,7,5,1990,2,6,180000
1283,61,8800,5,7,1977,3,5,150500
1284,94,9400,6,5,1971,4,8,139000
1285,50,9638,6,7,1919,4,10,169000
1286,50,6000,6,6,1939,4,6,132500
1287,NA,9790,6,5,1963,3,6,143000
1288,NA,36500,5,5,1964,4,7,190000
1289,40,5664,8,5,2000,2,5,278000
1290,86,11065,8,5,2006,3,8,281000
1291,NA,14112,5,7,1964,3,6,180500
1292,21,1680,5,7,1972,3,6,119500
1293,60,6600,5,4,1892,4,11,107500
1294,78,10140,7,5,1976,4,8,162900
1295,60,8172,5,7,1955,2,5,115000
1296,70,8400,5,5,1968,3,5,138500
1297,80,8700,5,6,1963,3,6,155000
1298,35,3675,6,5,2005,2,5,140000
